Antecedent_SKU1,Antecedent_SKU2,Consequent_SKU1,Consequent_SKU2,antecedent support,consequent support,support,confidence,lift,leverage,conviction
9549158,2734854,2988370,,0.010487805,0.040731707,0.010487805,1,24.5508982,0.010060619,inf
9549158,2754854,2988370,,0.010487805,0.040731707,0.010487805,1,24.5508982,0.010060619,inf
9646390,8568532,8798636,,0.010243902,0.043658537,0.010243902,1,22.90502793,0.009796669,inf
9836218,2170445,8798636,,0.01195122,0.043658537,0.01195122,1,22.90502793,0.011429447,inf
9836218,6063379,8798636,,0.010243902,0.043658537,0.010243902,1,22.90502793,0.009796669,inf
2170445,448103,8798636,,0.011707317,0.043658537,0.011707317,1,22.90502793,0.011196193,inf
2170445,776350,8798636,,0.012439024,0.043658537,0.012439024,1,22.90502793,0.011895955,inf
397046,2744854,6420710,,0.01,0.036829268,0.01,1,27.15231788,0.009631707,inf
656219,1380638,6420710,,0.010243902,0.036829268,0.010243902,1,27.15231788,0.009866627,inf
656219,1380638,2988370,,0.010243902,0.040731707,0.010243902,1,24.5508982,0.009826651,inf
656219,8568532,8798636,,0.010731707,0.043658537,0.010731707,1,22.90502793,0.010263177,inf
674109,2744854,8798636,,0.01097561,0.043658537,0.01097561,1,22.90502793,0.010496431,inf
674109,8568532,8798636,,0.01,0.043658537,0.01,1,22.90502793,0.009563415,inf
9646390,448103,8338370,,0.012195122,0.035609756,0.012195122,1,28.08219178,0.011760857,inf
1337310,5617621,776350,,0.012682927,0.045365854,0.012682927,1,22.04301075,0.012107555,inf
1968367,2734854,776350,,0.010243902,0.045365854,0.010243902,1,22.04301075,0.009779179,inf
2170445,1069332,776350,,0.010487805,0.045365854,0.010487805,1,22.04301075,0.010012017,inf
2170445,1184024,776350,,0.011707317,0.045365854,0.011707317,1,22.04301075,0.011176205,inf
2170445,5617621,776350,,0.010487805,0.045365854,0.010487805,1,22.04301075,0.010012017,inf
2170445,9978362,776350,,0.01097561,0.045365854,0.01097561,1,22.04301075,0.010477692,inf
2744854,1337310,776350,,0.010487805,0.045365854,0.010487805,1,22.04301075,0.010012017,inf
2754854,3953783,776350,,0.010487805,0.045365854,0.010487805,1,22.04301075,0.010012017,inf
3801077,1184024,776350,,0.014390244,0.045365854,0.014390244,1,22.04301075,0.013737418,inf
3801077,3763770,776350,,0.01097561,0.045365854,0.01097561,1,22.04301075,0.010477692,inf
3801077,5617621,776350,,0.012682927,0.045365854,0.012682927,1,22.04301075,0.012107555,inf
4687278,2734854,776350,,0.01097561,0.045365854,0.01097561,1,22.04301075,0.010477692,inf
4793767,1069332,776350,,0.010487805,0.045365854,0.010487805,1,22.04301075,0.010012017,inf
5368976,9978362,776350,,0.010243902,0.045365854,0.010243902,1,22.04301075,0.009779179,inf
5617621,3763770,776350,,0.012439024,0.045365854,0.012439024,1,22.04301075,0.011874717,inf
6420710,1337310,776350,,0.013658537,0.045365854,0.013658537,1,22.04301075,0.013038905,inf
6971371,3763770,776350,,0.010243902,0.045365854,0.010243902,1,22.04301075,0.009779179,inf
7078368,1380638,776350,,0.010243902,0.045365854,0.010243902,1,22.04301075,0.009779179,inf
7078368,8963391,776350,,0.011219512,0.045365854,0.011219512,1,22.04301075,0.010710529,inf
7863841,3763770,776350,,0.010487805,0.045365854,0.010487805,1,22.04301075,0.010012017,inf
8778012,1337310,776350,,0.011463415,0.045365854,0.011463415,1,22.04301075,0.010943367,inf
8798636,9194793,776350,,0.010243902,0.045365854,0.010243902,1,22.04301075,0.009779179,inf
9278109,3547981,776350,,0.01,0.045365854,0.01,1,22.04301075,0.009546341,inf
9288109,2734854,776350,,0.011463415,0.045365854,0.011463415,1,22.04301075,0.010943367,inf
9318109,1069332,776350,,0.012926829,0.045365854,0.012926829,1,22.04301075,0.012340393,inf
9836218,9978362,776350,,0.017560976,0.045365854,0.017560976,1,22.04301075,0.016764307,inf
3801077,656219,776350,,0.010731707,0.045365854,0.010731707,1,22.04301075,0.010244854,inf
397046,9308109,776350,,0.011219512,0.045365854,0.011219512,1,22.04301075,0.010710529,inf
5891685,448103,776350,,0.011219512,0.045365854,0.011219512,1,22.04301075,0.010710529,inf
656219,1380638,776350,,0.010243902,0.045365854,0.010243902,1,22.04301075,0.009779179,inf
674109,9978362,776350,,0.012195122,0.045365854,0.012195122,1,22.04301075,0.01164188,inf
